id;id_frase;frase;codice_stato;data_creazione;data_ultima_modifica;eliminato
1;47436;projection;PUBBLICATO;2023-02-08T18:40:25;2023-02-08T12:20:37;true
2;83260;deposit reboot;PRIVATO;2023-02-08T23:52:04;2023-02-08T16:16:43;true
3;14070;Music;BOZZA;2023-02-08T21:53:12;2023-02-08T22:48:20;false
4;97294;Division;PRIVATO;2023-02-08T14:01:34;2023-02-08T22:53:48;false
5;70903;web-readiness auxiliary haptic;BOZZA;2023-02-08T18:59:48;2023-02-08T18:09:31;true
6;57008;relationships;PUBBLICATO;2023-02-08T14:14:12;2023-02-08T22:27:46;true
7;79222;killer Tennessee index;PRIVATO;2023-02-08T08:20:36;2023-02-08T04:45:52;false
8;47703;support Clothing;BOZZA;2023-02-08T13:08:32;2023-02-08T18:17:26;true
9;55952;Pizza red Architect;PRIVATO;2023-02-08T19:46:31;2023-02-08T01:56:48;false
10;64820;Paradigm Ecuador;BOZZA;2023-02-08T01:31:07;2023-02-08T03:11:15;true
